booking_id,passenger_id,flight_id,booking_date,status,seat_number,payment_count,valid_payment_amount,missing_payment_amounts,payment_status_issue,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,route,departure_date,arrival_date,departure_hour,arrival_hour,is_overnight,flight_match_status,passport_hash,emergency_contact_name_masked,emergency_contact_phone_masked
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,0.0,0.0,0.0,No Issue,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,299.0,MAA → BOM,2026-04-20,2026-04-21,23.0,4.0,True,Matched,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,I***i,**********5128
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,0.0,0.0,0.0,No Issue,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,267.0,BOM → CCU,2026-04-20,2026-04-21,22.0,3.0,True,Matched,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,A***a,**********8662
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,2.0,8593.08,0.0,Cancelled With Payment,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,174.0,CCU → MAA,2026-04-20,2026-04-21,23.0,2.0,True,Matched,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,U***n,**********8220
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,0.0,0.0,0.0,Confirmed Without Payment,UNKNOWN,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,226.0,DEL → BOM,2026-04-20,2026-04-21,22.0,2.0,True,Matched,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,H***l,**********6839
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,1.0,12222.48,0.0,No Issue,UNKNOWN,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,04:38:00,278.0,HYD → DEL,2026-04-20,2026-04-21,21.0,2.0,True,Matched,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,P***y,**********8266
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,1.0,13378.9,0.0,No Issue,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,232.0,CCU → DEL,2026-04-20,2026-04-21,22.0,2.0,True,Matched,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,A***r,**********2726
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,1.0,14980.37,0.0,Cancelled With Payment,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,223.0,BOM → DEL,2026-04-20,2026-04-21,22.0,2.0,True,Matched,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,T***l,**********7864
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,0.0,0.0,0.0,Confirmed Without Payment,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,181.0,DEL → MAA,2026-04-20,2026-04-21,22.0,1.0,True,Matched,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,Y***a,**********5776
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,0.0,0.0,0.0,No Issue,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,156.0,BOM → CCU,2026-04-20,2026-04-21,23.0,1.0,True,Matched,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,R***i,**********8807
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,0.0,0.0,0.0,No Issue,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,139.0,DEL → HYD,2026-04-20,2026-04-21,23.0,1.0,True,Matched,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,T***n,**********6278
